SNR_dB	BER
-30	4.76190476e-01
-29	5.20634921e-01
-28	6.19047619e-01
-27	5.17460317e-01
-26	5.25396825e-01
-25	5.30158730e-01
-24	4.80952381e-01
-23	4.22222222e-01
-22	4.76190476e-01
-21	4.85714286e-01
-20	4.41269841e-01
-19	2.73015873e-01
-18	2.82539683e-01
-17	3.82539683e-01
-16	8.57142857e-02
-15	1.74603175e-02
-14	6.34920635e-03
-13	0.00000000e+00
-12	0.00000000e+00
-11	0.00000000e+00
-10	0.00000000e+00
-9	0.00000000e+00
-8	0.00000000e+00
-7	0.00000000e+00
-6	0.00000000e+00
-5	0.00000000e+00
-4	0.00000000e+00
-3	0.00000000e+00
-2	0.00000000e+00
-1	0.00000000e+00
0	0.00000000e+00
1	0.00000000e+00
2	0.00000000e+00
3	0.00000000e+00
4	0.00000000e+00
5	0.00000000e+00
6	0.00000000e+00
7	0.00000000e+00
8	0.00000000e+00
9	0.00000000e+00
10	0.00000000e+00
11	0.00000000e+00
12	0.00000000e+00
13	0.00000000e+00
14	0.00000000e+00
15	0.00000000e+00
16	0.00000000e+00
17	0.00000000e+00
18	0.00000000e+00
19	0.00000000e+00
20	0.00000000e+00
21	0.00000000e+00
22	0.00000000e+00
23	0.00000000e+00
24	0.00000000e+00
25	0.00000000e+00
26	0.00000000e+00
27	0.00000000e+00
28	0.00000000e+00
29	0.00000000e+00
30	0.00000000e+00
